rank_test_score,mean_test_score,std_test_score,base_score,booster,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda
165,0.81757342444479,0.010154671060397982,0.1,gblinear,0.05,5,100,1.0,0.1
166,0.817564324979295,0.009686313879029598,2.0,gblinear,0.05,15,100,1.0,0.9
167,0.8174271294209344,0.010035609962447659,0.1,gblinear,0.05,10,100,0.9,0.7
168,0.8174072539881706,0.022919625207344523,2.0,gblinear,0.2,20,2000,0.1,0.3
169,0.8173999010739625,0.010186220200432125,0.1,gblinear,0.05,15,100,1.0,0.3
170,0.8173216448236267,0.010085808277051009,0.3,gblinear,0.01,20,500,0.7,0.9
171,0.8172849065604093,0.023308554832188876,1.0,gblinear,0.3,7,1000,0.1,0.1
172,0.8172519733664801,0.023095586393395026,0.3,gblinear,0.3,20,1000,0.3,0.3
173,0.8171725901650561,0.009119672096401323,3.0,gblinear,0.05,20,100,0.9,1.0
174,0.8171460393097895,0.023439400047041033,0.1,gblinear,0.3,10,1000,0.7,0.9
175,0.8171445351032117,0.02355631028339519,2.0,gblinear,0.5,5,500,0.9,0.7
176,0.8170922032657089,0.023450908018099594,1.0,gblinear,0.5,7,500,0.1,0.3
177,0.8169893254913219,0.02344700526863023,0.1,gblinear,0.5,15,500,0.1,0.0
178,0.8169891720553143,0.023209948650125937,1.0,gblinear,0.5,10,500,0.7,0.7
179,0.8169757111490774,0.023392618987330263,0.6,gblinear,0.5,20,500,0.9,0.3
180,0.8169676663263957,0.010427673175230648,0.1,gblinear,0.05,10,100,0.3,0.0
181,0.8169501450959434,0.009425732775649955,3.0,gblinear,0.05,10,100,0.3,0.1
182,0.8166601129518358,0.022572899211668475,0.6,gblinear,0.15,3,500,1.0,0.3
183,0.8165640509640149,0.02259390549624875,2.0,gblinear,0.15,10,500,0.3,0.3
184,0.8165039893074665,0.02352864564437263,2.0,gblinear,0.2,3,1000,1.0,0.0
185,0.8164779975687696,0.023378467688634573,3.0,gblinear,0.2,7,1000,0.7,1.0
186,0.8164342329881146,0.022775564536431238,0.6,gblinear,0.15,7,500,0.3,0.3
187,0.8164284338176703,0.023290250072272367,2.0,gblinear,0.1,20,2000,0.3,0.1
188,0.8164082914815908,0.023461639163145215,1.0,gblinear,0.1,15,2000,0.7,0.3
189,0.8163861877031864,0.023542374746889364,0.3,gblinear,0.3,5,500,0.9,1.0
190,0.8163804600941748,0.02359966295104643,0.1,gblinear,0.1,15,2000,1.0,0.3
191,0.8163426405072195,0.023411424498971812,2.0,gblinear,0.1,3,2000,0.9,0.0
192,0.8162223691292179,0.02283773612385574,3.0,gblinear,0.05,10,2000,1.0,0.9
193,0.8161461816258613,0.023311709470356157,0.6,gblinear,0.2,20,500,0.7,0.0
194,0.8160705656450759,0.02352385994415772,0.6,gblinear,0.15,7,1000,0.1,0.3
195,0.8160515838265874,0.02319272698992463,2.0,gblinear,0.1,3,1000,1.0,0.9
196,0.8158255283849702,0.02350391257646822,1.0,gblinear,0.1,15,1000,0.9,0.0
197,0.8009969534294168,0.008889834738295709,0.1,gblinear,0.01,7,100,0.0,0.1
198,0.7807265745243182,0.009373368928756854,0.6,gbtree,0.01,20,100,0.1,0.9
199,0.7572214713773864,0.009043225354723947,3.0,gbtree,0.01,3,100,0.7,1.0
200,0.7257456864428453,0.00527265923839594,0.1,gbtree,0.01,10,100,0.0,0.0
